acceptance_reasons,challenger_selection_reason,cost_converged,improvement_over_original,instance_id,matrix_disagreement_from_original,matrix_stable,matrix_target_accepted,max_customer_membership_instability,max_near_best_matrix_disagreement,mean_near_best_matrix_disagreement,n_customers,near_best_seed_count,needs_review,original_cost,ortools_beats_pyvrp,ortools_checked,ortools_cost,ortools_feasible,pyvrp_best_cost,pyvrp_candidate_count,pyvrp_feasible_count,pyvrp_seed_spread_relative,pyvrp_worst_cost,reference_accepted,reference_base_seed,reference_cost,reference_derived_seed,reference_num_vehicles,reference_route_hash,reference_runtime_seconds,reference_solver,reference_time_budget,relative_improvement_over_original,source_file,vehicle_count_delta_from_original
"[""pyvrp_cost_not_converged"", ""route_membership_ambiguous""]",unstable_cost,False,0.19216814039954677,cvrp_s7799_n20-50-100_x66667_cvrp100_0007,0.10949494949494949,False,False,0.0,0.0,0.0,100,1,True,15.709875601056826,False,True,16.55271456942856,True,15.51770746065728,4,4,0.003484114819477207,15.571772935185267,False,271830,15.51770746065728,3794735481,10,0e123dc0efcc657445f9123194c34a842aaad3e4103343a5e3b5680514c35869,40.085337546999654,pyvrp,40.0,0.012232314582212182,cvrp100_0007.json,0
"[""accepted""]",not_selected,True,0.22291578196137074,cvrp_s7799_n20-50-100_x66667_cvrp100_0377,0.05393939393939394,True,True,0.2,0.013737373737373737,0.006868686868686869,100,4,False,13.118587939628368,False,False,,False,12.895672157666997,4,4,0.0002857402853512272,12.899356970709125,True,271829,12.895672157666997,221467206,11,b92b31adb1b514ce338ac03801d05f4c0f31586fff4bdc0f0108627b84089635,40.08481558099811,pyvrp,40.0,0.0169923609909258,cvrp100_0377.json,1
"[""accepted""]",stable_control,True,0.21244041313710937,cvrp_s7799_n20-50-100_x66667_cvrp100_0496,0.02727272727272727,True,True,0.0,0.0,0.0,100,2,False,13.997958946970714,False,True,15.130372545075401,True,13.785518533833605,4,4,0.00200815176653981,13.81320194722999,True,271829,13.785518533833605,3217931785,10,f1340118ae24668d0fc9f7d661129e6c91ed81141af18e4c8c3580b7d8925f06,40.128287343999546,pyvrp,40.0,0.015176527802511053,cvrp100_0496.json,0
"[""route_membership_ambiguous""]",unstable_matrix,True,0.09897385047612062,cvrp_s7799_n20-50-100_x66667_cvrp100_0639,0.07636363636363637,False,False,0.21,0.055353535353535356,0.0369023569023569,100,4,True,13.08333867011764,False,True,13.724889039066301,True,12.98436481964152,4,4,9.15674013494807e-05,12.985553764186228,True,271831,12.98436481964152,3942753070,10,643e761972ae9752b98b401c527c1b69cabc51113c87e4250492e8f8f0fa5732,40.10079161899921,pyvrp,40.0,0.007564877205401477,cvrp100_0639.json,0
"[""pyvrp_cost_not_converged"", ""route_membership_ambiguous""]",unstable_cost,False,0.30361045369569695,cvrp_s7799_n20-50-100_x66667_cvrp100_0689,0.08404040404040404,False,False,0.0,0.0,0.0,100,1,True,17.000732177869093,False,True,17.69967193323657,True,16.697121724173396,4,4,0.0016871638484948733,16.72529250432034,False,271831,16.697121724173396,4289427972,11,ea1b2cfa8cf98967b5e5bbaf534441ee4a2c719cd3824f5584bbecadf179fcf9,40.09625251599937,pyvrp,40.0,0.017858669292545263,cvrp100_0689.json,0
"[""accepted""]",not_selected,True,0.06575856838741245,cvrp_s7799_n20-50-100_x66667_cvrp100_0839,0.033535353535353536,True,True,0.0,0.0,0.0,100,4,False,13.8745378235098,False,False,,False,13.808779255122387,4,4,2.5428024567839267e-05,13.809130385100538,True,271828,13.808779255122387,3144678740,11,eb5527eb79d09f8b2162d3f757db34196f0b4704c85b43df47b1a7d3000a7f73,40.08569704900219,pyvrp,40.0,0.004739514153472372,cvrp100_0839.json,0
"[""accepted""]",stable_control,True,0.27021586005595566,cvrp_s7799_n20-50-100_x66667_cvrp100_0905,0.10161616161616162,True,True,0.0,0.0,0.0,100,3,False,13.27070168619914,False,True,13.69081562102867,True,13.000485826143183,4,4,0.002922528334440884,13.038480114331584,True,271828,13.000485826143183,3473811168,9,10e5a10d8af5579ff62d7448bdc7532fe628788c4438d04059a853e0caf07a56,40.09763161199953,pyvrp,40.0,0.020361836656833793,cvrp100_0905.json,0
"[""pyvrp_cost_not_converged""]",unstable_cost,False,0.2684845909041691,cvrp_s7799_n20-50-100_x66667_cvrp100_0938,0.057777777777777775,True,False,0.0,0.0,0.0,100,3,True,16.88225852127031,False,True,17.176796039098182,True,16.61377393036614,4,4,0.005223484106238442,16.700555714436046,False,271828,16.61377393036614,3724306836,11,8a9ae2f881206b574db47d14fb6901b54bb603b0f39297e968dad9ec8015eca9,40.09100308399866,pyvrp,40.0,0.015903357395333082,cvrp100_0938.json,0
"[""accepted""]",not_selected,True,0.27948902221216443,cvrp_s7799_n20-50-100_x66667_cvrp100_10101,0.05757575757575758,True,True,0.17,0.042222222222222223,0.021111111111111112,100,4,False,15.674456373468082,False,False,,False,15.394967351255918,4,4,0.00024800230811880883,15.398785338692443,True,271828,15.394967351255918,3430947600,11,d9d92eeda844bdb4be645985e440885f9a595c8a04d39d85c2244ef9fb032a16,40.08139225300329,pyvrp,40.0,0.017830859045628613,cvrp100_10101.json,0
"[""pyvrp_cost_not_converged"", ""route_membership_ambiguous""]",unstable_cost,False,0.18673776902333117,cvrp_s7799_n20-50-100_x66667_cvrp100_10332,0.07212121212121213,False,False,0.24,0.06121212121212121,0.042289562289562294,100,3,True,16.35733700103129,False,True,16.595228661489877,True,16.17059923200796,4,4,0.006942063523453287,16.282856559088863,False,271830,16.17059923200796,2475319296,10,1470640b77996c1c8a27fe466d44af47500a4d21c08e11ef435d07566de005eb,40.08407732100022,pyvrp,40.0,0.01141614732346456,cvrp100_10332.json,0
"[""accepted""]",not_selected,True,0.20875936665304273,cvrp_s7799_n20-50-100_x66667_cvrp100_10607,0.08525252525252525,True,True,0.0,0.0,0.0,100,4,False,14.347622702005333,False,False,,False,14.13886333535229,4,4,6.281823359020359e-16,14.1388633353523,True,271830,14.13886333535229,1536850971,9,798181af9f7601e032f5c18a3e7e8038c80cfba2ecf8376b3a93340a8d5612a3,40.084277497000585,pyvrp,40.0,0.0145501015038446,cvrp100_10607.json,0
"[""pyvrp_cost_not_converged""]",unstable_cost,False,0.19793458562249633,cvrp_s7799_n20-50-100_x66667_cvrp100_10674,0.03939393939393939,True,False,0.19,0.01717171717171717,0.01717171717171717,100,2,True,13.209608966014617,False,True,13.655282672291197,True,13.01167438039212,4,4,0.008691691259794264,13.124767836879464,False,271830,13.01167438039212,4111442852,10,8a6ee7b6897986b0c93b22e2f6f73e2e1e8278179916bf4b31756c5c2e4bc0e7,40.069240831999196,pyvrp,40.0,0.014984136633547439,cvrp100_10674.json,0
"[""pyvrp_cost_not_converged"", ""route_membership_ambiguous""]",unstable_cost,False,0.23815303141808464,cvrp_s7799_n20-50-100_x66667_cvrp100_10820,0.08767676767676767,False,False,0.26,0.09353535353535354,0.06235690235690236,100,3,True,14.392073844515034,False,True,14.99968817002874,True,14.15392081309695,4,4,0.007303242353428825,14.257290327046237,False,271831,14.15392081309695,2396803340,10,368187efaccd4d44b6ed12729c2d43d05144cb969f18dd6f364fbf1cc97b8a9c,40.111022643999604,pyvrp,40.0,0.016547513165300162,cvrp100_10820.json,0
"[""accepted""]",not_selected,True,0.057574759449645185,cvrp_s7799_n20-50-100_x66667_cvrp100_10878,0.051111111111111114,True,True,0.0,0.0,0.0,100,4,False,14.092817977538205,False,False,,False,14.03524321808856,4,4,3.796920677037266e-16,14.035243218088565,True,271831,14.03524321808856,2250531300,11,e0c158ff38afdc0c4aaa7a1b0539dd6a151fe36b6810fee6a19ec9ba60cb8284,40.085603715000616,pyvrp,40.0,0.004085397224416759,cvrp100_10878.json,0
"[""accepted""]",not_selected,True,0.17966214713738538,cvrp_s7799_n20-50-100_x66667_cvrp100_10911,0.050505050505050504,True,True,0.19,0.04909090909090909,0.03272727272727272,100,3,False,17.553176863075684,False,False,,False,17.3735147159383,4,4,0.004195509882089032,17.446405468615637,True,271831,17.3735147159383,586434165,11,ed3a5428dcd0b82e1428ee0ecb2381cad5d99fadbf624b9356df063c2ded6c5f,40.082458274999226,pyvrp,40.0,0.010235306607963204,cvrp100_10911.json,0
"[""accepted""]",not_selected,True,0.32076340604270115,cvrp_s7799_n20-50-100_x66667_cvrp100_10959,0.05232323232323232,True,True,0.0,0.0,0.0,100,3,False,18.089216457073974,False,False,,False,17.768453051031273,4,4,0.0025190139626520705,17.813212032361548,True,271828,17.768453051031273,3876925557,11,dfd019652f7b0ad1eb5e92dda9e11b275f03e20c11152010f5d9cc25ada70cb6,40.0872406540002,pyvrp,40.0,0.017732299616397332,cvrp100_10959.json,0
"[""pyvrp_cost_not_converged""]",unstable_cost,False,0.24813292397720943,cvrp_s7799_n20-50-100_x66667_cvrp100_11000,0.04888888888888889,True,False,0.0,0.0,0.0,100,3,True,14.704837768606643,False,True,15.652664220589077,True,14.456704844629433,4,4,0.01921998302431745,14.734562466330779,False,271830,14.456704844629433,1098270334,10,1b3d04101213d5d780998cc428443c5b24c07dcf15318f8bdbd8102500e2d1da,40.08987261099901,pyvrp,40.0,0.016874237436807934,cvrp100_11000.json,0
