acceptance_reasons,challenger_selection_reason,cost_converged,improvement_over_original,instance_id,matrix_disagreement_from_original,matrix_stable,matrix_target_accepted,max_customer_membership_instability,max_near_best_matrix_disagreement,mean_near_best_matrix_disagreement,n_customers,near_best_seed_count,needs_review,original_cost,ortools_beats_pyvrp,ortools_checked,ortools_cost,ortools_feasible,pyvrp_best_cost,pyvrp_candidate_count,pyvrp_feasible_count,pyvrp_seed_spread_relative,pyvrp_worst_cost,reference_accepted,reference_base_seed,reference_cost,reference_derived_seed,reference_num_vehicles,reference_route_hash,reference_runtime_seconds,reference_solver,reference_time_budget,relative_improvement_over_original,source_file,vehicle_count_delta_from_original
"[""accepted""]",not_selected,True,0.24178215755935284,cvrp_s7799_n20-50-100_x66667_cvrp100_10607,0.10787878787878788,True,True,0.23,0.015353535353535354,0.015353535353535354,100,2,False,14.347622702005333,False,False,,False,14.10584054444598,4,4,0.0023410721822823967,14.138863335352294,True,9101,14.10584054444598,4237213374,9,60ed0e85d64235ec736a8033133a979fbac84d215a43a289570fb3180d84dd31,40.0854333999996,pyvrp,40.0,0.016851722587154422,cvrp100_10607.json,0
"[""accepted""]",not_selected,True,0.1979345856225052,cvrp_s7799_n20-50-100_x66667_cvrp100_10674,0.03939393939393939,True,True,0.0,0.0,0.0,100,3,False,13.209608966014617,False,False,,False,13.011674380392112,4,4,0.0036291387890002576,13.058895552595834,True,9103,13.011674380392112,2575562997,10,8a6ee7b6897986b0c93b22e2f6f73e2e1e8278179916bf4b31756c5c2e4bc0e7,40.09044350000113,pyvrp,40.0,0.014984136633548112,cvrp100_10674.json,0
"[""accepted""]",not_selected,True,0.2270558942711709,cvrp_s7799_n20-50-100_x66667_cvrp100_10820,0.10343434343434343,True,True,0.28,0.03777777777777778,0.01888888888888889,100,4,False,14.392073844515034,False,False,,False,14.165017950243863,4,4,5.813653323705971e-05,14.16584145528073,True,9102,14.165017950243863,2538605407,10,8e53a599fa849d394d90fbd1da2eca36a631d0318e75c58e96b601e3d0367a17,40.09412969999903,pyvrp,40.0,0.015776454229193954,cvrp100_10820.json,0
"[""accepted""]",not_selected,True,0.05757475944964341,cvrp_s7799_n20-50-100_x66667_cvrp100_10878,0.051111111111111114,True,True,0.0,0.0,0.0,100,4,False,14.092817977538205,False,False,,False,14.035243218088562,4,4,2.5312804513581773e-16,14.035243218088565,True,9101,14.035243218088562,302852402,11,e0c158ff38afdc0c4aaa7a1b0539dd6a151fe36b6810fee6a19ec9ba60cb8284,40.09040550000282,pyvrp,40.0,0.004085397224416633,cvrp100_10878.json,0
"[""accepted""]",not_selected,True,0.17966214713738182,cvrp_s7799_n20-50-100_x66667_cvrp100_10911,0.050505050505050504,True,True,0.19,0.04909090909090909,0.03272727272727272,100,4,False,17.553176863075684,False,False,,False,17.373514715938303,4,4,0.0008292129308625311,17.38792105899529,True,9102,17.373514715938303,3074917091,11,ed3a5428dcd0b82e1428ee0ecb2381cad5d99fadbf624b9356df063c2ded6c5f,40.081503400000656,pyvrp,40.0,0.010235306607963,cvrp100_10911.json,0
"[""accepted""]",not_selected,True,0.3207634060426976,cvrp_s7799_n20-50-100_x66667_cvrp100_10959,0.05232323232323232,True,True,0.0,0.0,0.0,100,2,False,18.089216457073974,False,False,,False,17.768453051031276,4,4,0.001236837834408405,17.7904297460237,True,9101,17.768453051031276,3101301849,11,dfd019652f7b0ad1eb5e92dda9e11b275f03e20c11152010f5d9cc25ada70cb6,40.07813929999975,pyvrp,40.0,0.017732299616397138,cvrp100_10959.json,0
"[""accepted""]",not_selected,True,0.24813292397720588,cvrp_s7799_n20-50-100_x66667_cvrp100_11000,0.04888888888888889,True,True,0.0,0.0,0.0,100,4,False,14.704837768606643,False,False,,False,14.456704844629437,4,4,1.22874255128765e-16,14.456704844629439,True,9103,14.456704844629437,3138014101,10,1b3d04101213d5d780998cc428443c5b24c07dcf15318f8bdbd8102500e2d1da,40.08712949999972,pyvrp,40.0,0.01687423743680769,cvrp100_11000.json,0
"[""accepted""]",not_selected,True,0.0750884167043111,cvrp_s7799_n20-50-100_x66667_cvrp100_11033,0.03515151515151515,True,True,0.0,0.0,0.0,100,4,False,12.85078269101955,False,False,,False,12.775694274315239,4,4,4.171257079088473e-16,12.775694274315244,True,9103,12.775694274315239,3986271742,11,476567885a32fe8a8d4e7cb19b0fc2cd936b734a0b0874daeb1ede7b5690ceb5,40.08136079999895,pyvrp,40.0,0.005843100650731942,cvrp100_11033.json,0
"[""pyvrp_cost_not_converged"", ""route_membership_ambiguous""]",unstable_cost,False,0.3121973169772474,cvrp_s7799_n20-50-100_x66667_cvrp100_11173,0.10404040404040404,False,False,0.0,0.0,0.0,100,1,True,17.3584392747208,False,True,18.056758158633006,True,17.046241957743554,4,4,0.006912970783091191,17.16408213035894,False,9104,17.046241957743554,1384937119,10,3b843abd654fd1044b587dbf7db02c1893a3a7dd763f118c0289a60ac4d0604c,40.087191699996765,pyvrp,40.0,0.01798533336069575,cvrp100_11173.json,0
"[""accepted""]",not_selected,True,0.3019573142852163,cvrp_s7799_n20-50-100_x66667_cvrp100_11210,0.07353535353535354,True,True,0.0,0.0,0.0,100,4,False,15.474777064346442,False,False,,False,15.172819750061226,4,4,5.4734039194633204e-05,15.173650219772119,True,9102,15.172819750061226,3362371522,12,ea22221ebd0b4ec9e3fc7e552556af12266a33fcd689bafcee3299fb32b73bd0,40.08641429999989,pyvrp,40.0,0.01951287007429138,cvrp100_11210.json,0
