method,matrix_f1,matrix_auc,matrix_precision,matrix_recall,matrix_bce,threshold,runtime_seconds,route_gap_percent,route_feasible_rate,route_num_vehicles,route_decode_runtime_seconds,route_repair_count,route_matrix_pair_accuracy,num_examples,f1_n20,f1_n50,f1_n100,route_gap_n20,route_gap_n50,route_gap_n100,delta_gap_vs_no_m
no_m_mask,0.1922749218971883,0.5,0.10636292223095051,1.0,14.403727907831083,0.5,5.2916991990059614e-05,79.57749947258155,1.0,7.083333333333333,0.4450235208302426,12,0.739411172230721,12.0,0.3898305084745763,0.2462419470293486,0.16971713810316139,49.04676079110733,91.04409362234496,98.64164400429235,0.0
ground_truth_m,1.0,1.0,1.0,1.0,1.0000000494736472e-07,0.5,5.1458016969263554e-05,0.5016474137987853,1.0,7.083333333333333,0.42075759725897416,0,1.0,12.0,1.0,1.0,1.0,0.0959907982022759,0.8032098476074314,0.6057415955866485,79.07585205878277
predicted_m,0.5304867634500428,0.8890209239644165,0.4934858595487766,0.5734859675036927,0.5039215194832768,0.65,0.0034523329813964665,54.4162447299319,1.0,12.5,0.41641093749785796,8,0.8652375708390744,12.0,0.41509433962264153,0.5703479576399395,0.5253045923149016,73.13387210766633,53.31148381549703,36.803378266632336,25.161254742649653
random_m,0.0979848400813459,0.49539534369176497,0.09811181044057757,0.09785819793205318,3.0887741846193233,0.5,0.0009836250101216137,213.31288902222548,1.0,20.583333333333332,0.39579760435056716,0,0.816645925781264,12.0,0.17829457364341086,0.07775020678246485,0.0989345509893455,125.0846839549685,223.92923540180766,290.92474770990026,-133.7353895496439
supervised_m,0.20248906828119745,0.5655601461887163,0.12379698938882948,0.5557607090103397,0.3543476994776487,0.15,1.1282319169840775,167.84200532091566,1.0,25.75,0.44535692007048056,12,0.7456752270286104,12.0,0.3612662942271881,0.2516063577950626,0.18221792278603466,81.50051014873478,179.39626160294253,242.62924421106965,-88.26450584833411
diffusion_m,0.0,0.5430506734227075,0.0,0.0,0.3620260377119054,0.5,0.34201850002864376,379.67516833463213,1.0,56.666666666666664,0.013838357830536552,0,0.8415864336165088,12.0,0.0,0.0,0.0,210.87429880755056,345.9003809407899,582.250825255556,-300.09766886205057
