method,bce,auc,precision,recall,f1,threshold,calibration_error,capacity_consistency,num_examples,pair_acc,f1_n20,f1_n50,f1_n100
P2.1_supervised,0.25966726271700613,0.91059049387755,0.5175543348459517,0.6031171722794322,0.5570694087403599,0.6,0.0915619102084882,0.031875,48.0,0.869555956087911,0.6202980837473385,0.5807699068377571,0.543282846940032
P3_one_shot,0.2273957170199414,0.9222980780598133,0.5227727013135351,0.6793765655441135,0.5908742485980555,nan,0.0700357382444197,0.07083333333333335,48.0,0.8765224026878163,0.6183500385505012,0.6081009994739611,0.5833473885421937
P3_full_chain,0.7910256143169515,0.7159082497851535,0.4608456986019384,0.49846924575563595,0.4789196898119262,nan,0.11365261072316724,0.55625,48.0,0.8508388350023689,0.5630630630630631,0.45724572457245727,0.4794546974471095
